Latitude,Longitude,School Name,Ground-truthed
5.891346101,-7.476333409,EPC AL HAMDOULOULAYE,TRUE
5.94153391,-7.472357459,EPC GAHABLY,TRUE
5.942998431,-7.47546037,EPP GAHABLY,TRUE
5.953634432,-7.475900735,EPC NOUR DINE DE ZAIPOBLY,TRUE
5.954081443,-7.474038908,EPP ZAIPOBLY,TRUE
5.989093539,-7.472939371,EPP KEIBLY 1,TRUE
5.988631989,-7.472814198,EPP KEIBLY 2,TRUE
5.994285052,-7.473204954,EPC TARBIATOU,TRUE
5.99963526,-7.472006782,EPP KEIBLY 3,TRUE
5.999372077,-7.471673303,EPP KEIBLY 4,TRUE
6.000866604,-7.475779053,EC NOURDINE,TRUE
6.002537222,-7.47817714,EPC ATAH ZIB WATALIME,TRUE
6.591016303,-8.433955912,EPP CEBLY,TRUE
6.599207106,-8.470962369,EPP NEZOBLI 1,TRUE
6.597138755,-8.473913519,EPP NEZOBLY 2,TRUE
6.576540613,-8.490443279,EPP TIABOLOBLY,TRUE
6.606322363,-8.493470445,EPP KAHIBLY,TRUE
6.598965447,-8.499746761,EPP KPABLY,TRUE
6.586004783,-8.529673983,EPP KLAON,TRUE
6.617948465,-8.478197549,EPP TOYEBLY,TRUE
6.620774786,-8.456655349,EPP TOUAPLEBLY,TRUE
6.63240086,-8.434469711,EPP GREPLEU,TRUE
6.652267635,-8.428765623,EPP KOARHO 1,TRUE
6.652131616,-8.428476282,EPP KOARHO 2,TRUE
6.619790196,-8.402686664,EPP DOHO,TRUE
6.604914367,-8.406223383,EPP BAKPAHI,TRUE
6.586201371,-8.408271868,EPP TOULEPLEU CHATEAU,TRUE
6.574123027,-8.406241911,EPP LIBREVILLE,TRUE
6.58258894,-8.413214998,EPC DAROUL QURAL TAWHIDE,TRUE
6.573109074,-8.413198984,EPP TOULEPLEU MINICIPALITE,TRUE
6.580449578,-8.409318908,EPP TOULEPLEU 3,TRUE
6.580440714,-8.409472691,EPP TOULEPLEU 1,TRUE
6.580270887,-8.418934465,EPP TOULEPLEU 2,TRUE
6.522566297,-8.296450336,EPP MEO 2,TRUE
6.585707712,-8.374315486,EPP GUIELLE,TRUE
6.549940025,-8.373193372,EPP ZIOMBLY,TRUE
6.576282203,-8.339141013,EPP SAHIBLY,TRUE
6.569161383,-8.324099301,EPP PANTROKIN,TRUE
6.531696812,-8.339199706,EPP PANHOULO-DOUOHOZON,TRUE
6.513436274,-8.341059589,EPP DIAHI,TRUE
6.487644565,-8.360048783,EPP GRIE 2,TRUE
6.473665195,-8.36413597,EPP BOHOBLY,TRUE
6.460708433,-8.368637619,EPP GRIE 1,TRUE
6.437405069,-8.374508138,EPP SAHOUBLY,TRUE
6.396490291,-8.373436815,EPP PAHOUBLY 1,TRUE
6.396825343,-8.373734798,EPP PAHOUBLY 2,TRUE
6.398149002,-8.368787124,EPC DAROUL QURANE ETAHOUIDE,TRUE
6.437921876,-8.375493178,EPC DAROUL QURANE WATAHIDE,TRUE
6.468274538,-8.364558707,EPC DAROUL TAKOHA,TRUE
6.392758221,-8.30592466,EPC MADRASSATOU SAKRAFAHATOU,TRUE
6.522420042,-8.295356188,EPP MEO 1,TRUE
6.540005045,-8.276672725,EPP DENAN,TRUE
6.548231874,-8.286166836,EPP  KPOBLY-DOUOZE,TRUE
6.56133676,-8.304075252,EPP PEHE 1,TRUE
6.560893708,-8.304202496,EPP PEHE 2,TRUE
6.564095473,-8.303962883,EPC MADASSATOU NOUROUL YACKINE,TRUE
